Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Female,Loyal Customer,,,Eco,,2,4,2,5,5,2,5.0,5.0,5,4,4,3,5,5.0,,0.0,neutral or dissatisfied
Male,Loyal Customer,22.0,Business travel,Business,393.0,3,5,5,5,3,3,3.0,,1,1,3,2,3,,,16.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco,,1,3,1,3,2,3,3.0,,4,1,4,3,4,4.0,,34.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco,1020.0,2,3,2,4,4,2,4.0,4.0,3,2,4,1,4,4.0,,4.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,2,2,2,1,2,2,,,2,2,3,2,2,,,0.0,neutral or dissatisfied
Female,Loyal Customer,25.0,,Eco,,2,4,2,4,2,2,2.0,,1,3,4,5,2,,,1.0,neutral or dissatisfied
Male,Loyal Customer,,Personal Travel,Eco,925.0,3,4,3,1,3,3,,,4,5,4,4,5,,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,,3,2,3,2,4,3,,,1,1,2,2,3,,,42.0,neutral or dissatisfied
Female,Loyal Customer,,,Eco,,2,4,2,2,5,4,4.0,,5,2,2,5,5,3.0,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,31.0,,Business,1813.0,2,4,4,4,2,2,,,3,1,4,1,4,,,3.0,neutral or dissatisfied
Female,Loyal Customer,50.0,,Business,3391.0,1,3,1,1,1,2,,,5,5,5,3,5,,0.0,0.0,satisfied
Male,Loyal Customer,42.0,Business travel,Business,,2,2,2,2,5,5,5.0,4.0,4,4,4,5,4,,1.0,0.0,satisfied
Female,disloyal Customer,,,Eco,402.0,0,3,0,3,1,3,1.0,,3,4,5,4,4,,0.0,0.0,satisfied
Female,Loyal Customer,23.0,,Eco,,2,5,2,4,5,2,5.0,,5,5,4,3,5,,1.0,0.0,neutral or dissatisfied
Male,Loyal Customer,,,Business,2922.0,1,1,1,1,5,5,5.0,5.0,3,3,4,5,5,,,14.0,satisfied
Female,Loyal Customer,12.0,,Eco,,1,5,1,4,1,1,,,4,2,4,3,4,1.0,,8.0,neutral or dissatisfied
Female,Loyal Customer,,Business travel,Eco,331.0,4,4,4,4,4,4,4.0,,1,4,1,3,4,,,0.0,satisfied
Female,Loyal Customer,30.0,Personal Travel,Eco,,1,5,1,4,4,1,,,4,4,5,2,2,,,0.0,neutral or dissatisfied
Male,Loyal Customer,,Business travel,Business,,5,1,5,5,5,5,,,5,3,4,5,4,,,0.0,satisfied
Male,disloyal Customer,20.0,Business travel,Business,,0,0,0,4,4,0,,,3,4,4,4,4,,,28.0,satisfied
Male,Loyal Customer,,,Business,,4,1,2,1,1,3,3.0,,4,4,4,1,4,,,96.0,neutral or dissatisfied
Female,disloyal Customer,22.0,Business travel,Business,,5,4,4,1,4,4,,,5,2,5,4,4,,,0.0,satisfied
Female,Loyal Customer,51.0,Business travel,Eco,,2,5,5,5,2,4,3.0,,3,2,3,1,3,,,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Business,,3,3,3,3,3,3,4.0,,2,2,2,3,1,3.0,,0.0,satisfied
Female,Loyal Customer,50.0,,Business,,2,2,2,2,5,4,,,2,2,2,3,2,,0.0,0.0,satisfied
Female,Loyal Customer,21.0,Business travel,Business,2682.0,2,2,2,2,5,5,,,2,4,5,5,5,,,141.0,satisfied
Female,Loyal Customer,25.0,Business travel,Business,,2,5,5,5,2,2,2.0,,4,5,3,4,3,,,87.0,neutral or dissatisfied
